"KEYWORD";"LANG";"CATEGORY"
"taxidermy";"en";"yelp"
"translation services";"en";"yelp"
"video production";"en";"yelp"
"film production";"en";"yelp"
"film studio";"en";"yelp"
"web design";"en";"yelp"
"web analytics";"en";"yelp"
"community center";"en";"yelp"
"courthouse";"en";"yelp"
"department of motor vehicles";"en";"yelp"
"embassy";"en";"yelp"
"fire department";"en";"yelp"
"landmarks";"en";"yelp"
"police";"en";"yelp"
"police department";"en";"yelp"
"post office";"en";"yelp"
"church";"en";"yelp"
"chapel";"en";"yelp"
"temple";"en";"yelp"
"buddhist temple";"en";"yelp"
"hindu temple";"en";"yelp"
"mosque";"en";"yelp"
"synagogue";"en";"yelp"
"restaurant";"en";"yelp"
"afghani restaurant";"en";"yelp"
"african restaurant";"en";"yelp"
"senegalese restaurant";"en";"yelp"
"south african restaurant";"en";"yelp"
"new american restaurant";"en";"yelp"
"american restaurant";"en";"yelp"
"arabian restaurant";"en";"yelp"
"argentine restaurant";"en";"yelp"
"armenian restaurant";"en";"yelp"
"asian fusion restaurant";"en";"yelp"
"australian restaurant";"en";"yelp"
"austrian restaurant";"en";"yelp"
"bangladeshi restaurant";"en";"yelp"
"basque restaurant";"en";"yelp"
"belgian restaurant";"en";"yelp"
"brassery";"en";"yelp"
"brazilian restaurant";"en";"yelp"
"breakfast & brunch";"en";"yelp"
"british restaurant";"en";"yelp"
"buffet";"en";"yelp"
"burgers";"en";"yelp"
"burmese restaurant";"en";"yelp"
"cafeteria";"en";"yelp"
"cajun restaurant";"en";"yelp"
"cambodian restaurant";"en";"yelp"
"caribbean restaurant";"en";"yelp"
"dominican restaurant";"en";"yelp"
"haitian restaurant";"en";"yelp"
"puertorican restaurant";"en";"yelp"
"trinidadian restaurant";"en";"yelp"
"catalan restaurant";"en";"yelp"
"cheesesteaks";"en";"yelp"
"chicken shop";"en";"yelp"
"chicken wings";"en";"yelp"
"barbeque";"en";"yelp"
"barbeque restaurant";"en";"yelp"
"grill bar";"en";"yelp"
"chinese restaurant";"en";"yelp"
"cantonese restaurant";"en";"yelp"
"dimsum restaurant";"en";"yelp"
"hainan restaurant";"en";"yelp"
"shanghainese restaurant";"en";"yelp"
"szechuan restaurant";"en";"yelp"
"comfort food";"en";"yelp"
"crepery";"en";"yelp"
"creperies";"en";"yelp"
"cuban restaurant";"en";"yelp"
"czech restaurant";"en";"yelp"
"delis restaurant";"en";"yelp"
"dinner theater";"en";"yelp"
"ethiopian restaurant";"en";"yelp"
"fast food";"en";"yelp"
"filipino restaurant";"en";"yelp"
"fish & chips";"en";"yelp"
"fondue";"en";"yelp"
"food court";"en";"yelp"
"food stand";"en";"yelp"
"french restaurant";"en";"yelp"
"gastro pub";"en";"yelp"
"german restaurant";"en";"yelp"
"Gluten-Free restaurant";"en";"yelp"
"greek restaurant";"en";"yelp"
"halal restaurant";"en";"yelp"
"hawaiian restaurant";"en";"yelp"
"himalayan restaurant";"en";"yelp"
"hot dogs";"en";"yelp"
"hot pot";"en";"yelp"
"hungarian restaurant";"en";"yelp"
"iberian restaurant";"en";"yelp"
"indian restaurant";"en";"yelp"
"indonesian restaurant";"en";"yelp"
"irish restaurant";"en";"yelp"
"italian restaurant";"en";"yelp"
"calabrian restaurant";"en";"yelp"
"sardinian restaurant";"en";"yelp"
"tuscan restaurant";"en";"yelp"
"japanese restaurant";"en";"yelp"
"ramen restaurant";"en";"yelp"
"teppanyaki restaurant";"en";"yelp"
"korean restaurant";"en";"yelp"
"kosher restaurant";"en";"yelp"
"laotian restaurant";"en";"yelp"
"latin restaurant";"en";"yelp"
"colombian restaurant";"en";"yelp"
"salvadoran restaurant";"en";"yelp"
"venezuelan restaurant";"en";"yelp"
"raw food";"en";"yelp"
"malaysian restaurant";"en";"yelp"
"mediterranean restaurant";"en";"yelp"
"falafel restaurant";"en";"yelp"
"mexican restaurant";"en";"yelp"
"mid eastern restaurant";"en";"yelp"
"egyptian restaurant";"en";"yelp"
"lebanese restaurant";"en";"yelp"
"modern european restaurant";"en";"yelp"
"mongolian restaurant";"en";"yelp"
"moroccan restaurant";"en";"yelp"
"nicaraguan restaurant";"en";"yelp"
"pakistani restaurant";"en";"yelp"
"persian restaurant";"en";"yelp"
"peruvian restaurant";"en";"yelp"
"pizza restaurant";"en";"yelp"
"polish restaurant";"en";"yelp"
"portuguese restaurant";"en";"yelp"
"poutineries restaurant";"en";"yelp"
"russian restaurant";"en";"yelp"
"salad restaurant";"en";"yelp"
"sandwiches restaurant";"en";"yelp"
"scandinavian restaurant";"en";"yelp"
"scottish restaurant";"en";"yelp"
"seafood restaurant";"en";"yelp"
"singaporean restaurant";"en";"yelp"
"slovakian restaurant";"en";"yelp"
"soul food restaurant";"en";"yelp"
"soup restaurant";"en";"yelp"
"southern restaurant";"en";"yelp"
"spanish restaurant";"en";"yelp"
"sri lankan restaurant";"en";"yelp"
"steak restaurant";"en";"yelp"
"steakhouse";"en";"yelp"
"supper club";"en";"yelp"
"sushi restaurant";"en";"yelp"
"sushi bar";"en";"yelp"
"sushi";"en";"yelp"
"syrian restaurant";"en";"yelp"
"taiwanese restaurant";"en";"yelp"
"tapas bar";"en";"yelp"
"tex-mex";"en";"yelp"
"thai restaurant";"en";"yelp"
"turkish restaurant";"en";"yelp"
"ukrainian restaurant";"en";"yelp"
"uzbek restaurant";"en";"yelp"
"vegan restaurant";"en";"yelp"
"vegetarian restaurant";"en";"yelp"
"vietnamese restaurant";"en";"yelp"
"waffles restaurant";"en";"yelp"
"waffles";"en";"yelp"
"shopping";"en";"yelp"
"adult shop";"en";"yelp"
"antiques";"en";"yelp"
"art gallery";"en";"yelp"
"arts & crafts";"en";"yelp"
"art supplies";"en";"yelp"
"cards & stationery";"en";"yelp"
"cooking classes";"en";"yelp"
"costumes";"en";"yelp"
"embroidery & crochet";"en";"yelp"
"fabric store";"en";"yelp"
"framing";"en";"yelp"
"auction house";"en";"yelp"
"furniture shop";"en";"yelp"
"baby gear shop";"en";"yelp"
"battery store";"en";"yelp"
"bespoke clothing";"en";"yelp"
"bookstore";"en";"yelp"
"comic books store";"en";"yelp"
"Music & DVDs";"en";"yelp"
"Newspapers & Magazines";"en";"yelp"
"video game store";"en";"yelp"
"video game rental";"en";"yelp"
"video rental";"en";"yelp"
"vinyl records";"en";"yelp"
"brewing supplies";"en";"yelp"
"bridal";"en";"yelp"
"cannabis dispensaries";"en";"yelp"
"computers store";"en";"yelp"
"beauty supply";"en";"yelp"
"cosmetics supply";"en";"yelp"
"customized merchandise";"en";"yelp"
"department store";"en";"yelp"
"discount store";"en";"yelp"
"drugstore";"en";"yelp"
"duty-free shop";"en";"yelp"
"electronics shop";"en";"yelp"
"optician";"en";"yelp"
"eyewear shop";"en";"yelp"
"farming equipment";"en";"yelp"
"fashion shop";"en";"yelp"
"children's clothing";"en";"yelp"
"clothing rental";"en";"yelp"
"formal wear";"en";"yelp"
"fur clothing";"en";"yelp"
"hats store";"en";"yelp"
"leather goods";"en";"yelp"
"lingerie shop";"en";"yelp"
"maternity wear";"en";"yelp"
"men's clothing";"en";"yelp"
"plus size fashion";"en";"yelp"
"shoe store";"en";"yelp"
"sports wear";"en";"yelp"
"sportswear";"en";"yelp"
"surf shop";"en";"yelp"
"swimwear";"en";"yelp"
"vintage shop";"en";"yelp"
"women's clothing";"en";"yelp"
"fireworks";"en";"yelp"
"fitness equipment";"en";"yelp"
"exercise equipment";"en";"yelp"
"flea market";"en";"yelp"
"florist";"en";"yelp"
"gift shop";"en";"yelp"
"stationery shop";"en";"yelp"
"flowers shop";"en";"yelp"
"gold buyers";"en";"yelp"
"golf equipment shop";"en";"yelp"
"guns & ammo";"en";"yelp"
"head shop";"en";"yelp"
"high fidelity audio equipment";"en";"yelp"
"hobby shop";"en";"yelp"
"home & garden";"en";"yelp"
"hardware store";"en";"yelp"
"holiday decorations";"en";"yelp"
"home decor";"en";"yelp"
"hot tub";"en";"yelp"
"kitchen & bath";"en";"yelp"
"mattresses shop";"en";"yelp"
"nursery";"en";"yelp"
"gardening";"en";"yelp"
"outdoor furniture store";"en";"yelp"
"paint store";"en";"yelp"
"rugs store";"en";"yelp"
"horse equipment shop";"en";"yelp"
"jewelry";"en";"yelp"
"knitting supplies";"en";"yelp"
"livestock feed & supply";"en";"yelp"
"luggage shop";"en";"yelp"
"medical supplies";"en";"yelp"
"mobile phone accessories";"en";"yelp"
"mobile phones store";"en";"yelp"
"motorcycle gear";"en";"yelp"
"musical instruments";"en";"yelp"
"office equipment";"en";"yelp"
"outlet store";"en";"yelp"
"pawn shop";"en";"yelp"
"personal shopping";"en";"yelp"
"photography store";"en";"yelp"
"photography services";"en";"yelp"
"Pool & Billiards";"en";"yelp"
"Pop-up Shop";"en";"yelp"
"shopping center";"en";"yelp"
"souvenir shop";"en";"yelp"
"spiritual shop";"en";"yelp"
"sporting goods";"en";"yelp"
"bike shop";"en";"yelp"
"dive shop";"en";"yelp"
"golf equipment shop";"en";"yelp"
"hunting supplies";"en";"yelp"
"fishing supplies";"en";"yelp"
"outdoor gear";"en";"yelp"
"skate shop";"en";"yelp"
"ski shop";"en";"yelp"
"snowboard shop";"en";"yelp"
"sports wear";"en";"yelp"
"tabletop games";"en";"yelp"
"thrift store";"en";"yelp"
"tobacco shop";"en";"yelp"
"toy store";"en";"yelp"
"trophy shop";"en";"yelp"
"uniforms shop";"en";"yelp"
"used bookstore";"en";"yelp"
"Vape Shop";"en";"yelp"
"Vitamins & Supplements";"en";"yelp"
"watches shop";"en";"yelp"
"wholesale store";"en";"yelp"
"wigs shop";"en";"yelp"
"";"en";"yelp"
"";"en";"yelp"
"";"en";"yelp"
"";"en";"yelp"
"";"en";"yelp"
